1009.2,1.7,55.7,17.0,G,G
1008.8,5.0,81.7,14.0,G,G
1010.2,9.3,89.0,13.9,G,G
1013.8,9.0,86.7,13.6,G,G
1014.6,1.3,83.7,13.2,G,G
1011.1,3.7,79.0,13.8,G,G
1010.7,2.7,74.7,14.3,G,G
1011.7,1.7,76.7,13.9,G,G
1011.3,1.0,81.0,14.2,G,G
1005.3,7.3,74.0,18.1,G,G
1004.8,6.0,85.0,16.2,G,Y
1007.2,9.3,92.3,14.4,Y,Y
1006.0,8.3,87.0,15.5,Y,Y
1008.1,7.3,85.3,15.4,Y,G
1006.7,3.0,85.3,17.2,G,G
1006.7,1.7,88.3,15.8,G,Y
1007.9,8.7,89.3,16.4,Y,G
1008.4,9.0,88.7,17.2,G,G
1008.8,6.3,86.7,17.5,G,Y
1009.2,5.3,86.0,17.4,Y,G
1008.0,6.3,81.7,18.9,G,G
1004.5,5.0,83.3,19.2,G,Y
1005.1,9.0,93.3,17.6,Y,G
1010.9,3.7,73.7,16.8,G,G
1013.1,2.7,78.3,17.2,G,G
1012.3,2.0,65.7,17.4,G,G
1009.8,2.3,68.7,17.7,G,G
1008.4,1.7,75.7,17.6,G,G
1006.4,0.7,71.0,19.9,G,G
1007.2,2.7,76.0,19.5,G,G
1005.3,2.3,79.0,19.8,G,Y
1003.7,8.0,89.0,18.3,Y,Y
1004.4,6.3,87.0,15.8,Y,G
1007.6,0.0,60.3,18.2,G,G
1007.3,3.3,69.7,18.6,G,G
1008.7,6.0,79.0,18.8,G,G
1009.8,2.0,77.7,19.8,G,G
1009.9,1.7,71.3,20.0,G,G
1010.9,0.0,65.3,22.4,G,G
1007.1,0.0,60.3,23.7,G,Y
1004.2,6.3,79.0,18.9,Y,G
1004.9,2.3,63.0,20.5,G,G
1005.9,3.3,70.0,19.8,G,G
1010.2,0.3,53.7,20.5,G,G
1009.8,0.3,46.7,20.8,G,Y
1007.6,6.3,75.0,18.7,Y,G
1009.5,6.3,75.3,20.4,G,G
1008.6,0.3,72.7,21.2,G,G
1006.2,0.3,70.3,21.6,G,G
1004.3,4.7,80.3,21.8,G,G
1003.1,0.7,57.0,20.9,G,G
1001.8,0.0,49.3,24.0,G,G
1002.0,0.0,71.3,23.9,G,G
999.1,3.0,83.7,22.8,G,Y
995.2,6.0,85.3,23.3,Y,Y
996.7,9.0,90.3,19.0,Y,Y
1002.1,1.0,64.7,20.4,Y,G
1002.9,0.0,61.7,20.8,G,G
1002.8,2.7,68.7,22.4,G,G
1006.5,2.0,81.3,22.6,G,G
1007.5,1.7,76.0,22.6,G,G
1007.9,1.0,75.3,23.0,G,G
1007.9,0.7,80.0,23.2,G,G
1004.2,3.3,85.7,23.4,G,G
1002.5,6.3,84.0,23.4,G,G
